sub,Effort1_Risk2,run,trial,RT,dur,StrTime,reward,loss,effort_risk,response
21,1,5,31,1.279158,3.98429,159.765852,6,4,4,2
21,1,5,32,0.796534,4.482799,163.767424,2,5,1,4
21,1,5,33,0.740853,6.730993,168.269154,8,1,1,4
21,1,5,34,0.990306,10.728465,175.0217,12,3,2,4
21,1,5,35,0.790907,13.991138,185.759148,4,1,4,2
21,1,5,36,1.298496,4.235693,199.764516,12,2,5,2
22,1,1,1,1.779137,3.932207,0.067876,6,4,1,2
22,1,1,2,1.818618,6.480751,4.019391,12,5,3,4
22,1,1,3,1.886079,4.478151,10.521926,8,1,5,1
22,1,1,4,1.374017,9.493249,15.006978,4,5,5,1
22,1,1,5,1.742419,7.739585,24.510581,4,3,3,2
22,1,1,6,1.879443,3.986584,32.263552,10,6,5,4
22,1,1,7,0,3.98502,36.265086,12,6,1,0
22,1,1,8,1.134292,3.98341,40.266662,10,2,5,4
22,1,1,9,1.748799,6.481971,44.268196,8,5,4,3
22,1,1,10,1.397315,4.729453,50.770688,8,6,2,2
22,1,1,11,1.734205,3.994344,55.505795,8,3,2,4
22,1,1,12,1.337646,5.242865,59.50737,8,2,4,4
22,1,1,13,1.272797,9.990793,64.759341,2,5,4,1
22,1,1,14,1.078833,4.236898,74.763176,4,4,5,1
22,1,1,15,1.986094,3.985326,79.014807,10,4,2,3
22,1,1,16,1.258665,4.483881,83.016342,6,2,3,4
22,1,1,17,0,3.982171,87.518065,12,6,1,0
22,1,1,18,0.915408,5.480489,91.519599,2,3,2,1
22,1,1,19,1.110203,7.478399,97.021751,6,1,1,4
22,1,1,20,1.227122,3.992226,104.507913,2,5,2,1
22,1,1,21,1.143563,6.740701,108.509446,12,1,2,4
22,1,1,22,0.783968,6.238191,115.262036,4,3,2,1
22,1,1,23,1.373544,3.985665,121.514472,12,1,4,4
22,1,1,24,1.362047,3.984221,125.515966,2,5,2,1
22,1,1,25,1.37445,8.482604,129.517562,8,3,1,4
22,1,1,26,1.19621,3.979342,138.0208,10,2,4,4
22,1,1,27,1.279389,4.494457,142.005619,4,6,5,1
22,1,1,28,1.278675,4.742795,146.507346,4,2,3,1
22,1,1,29,0.772794,5.491057,151.259167,6,1,5,4
22,1,1,30,1.170754,5.238864,156.761277,10,3,4,4
22,1,1,31,1.722685,4.486888,162.013331,10,4,1,4
22,1,1,32,1.356997,4.985135,166.515015,6,4,1,1
22,1,1,33,1.530043,6.983283,171.516974,2,2,1,1
22,1,1,34,1.06441,11.48055,178.519617,6,1,3,4
22,1,1,35,1.463668,5.242869,190.007354,12,6,4,1
22,1,1,36,0.723654,8.740786,195.259368,2,4,4,1
22,1,2,1,1.186965,8.467222,0.032956,2,6,3,1
22,1,2,2,1.583442,4.480567,8.519499,4,4,5,1
22,1,2,3,1.264667,5.229021,13.021225,2,6,5,1
22,1,2,4,1.488316,5.493636,18.256608,6,3,3,4
22,1,2,5,1.674268,8.74149,23.758676,6,4,3,4
22,1,2,6,1.399854,6.738159,32.512073,12,5,4,4
22,1,2,7,1.477318,3.985519,39.264619,8,3,1,4
22,1,2,8,1.303783,5.984058,43.266153,4,4,4,1
22,1,2,9,1.837474,5.481707,49.268454,12,6,5,1
22,1,2,10,1.394391,4.229519,54.770563,2,2,3,1
22,1,2,11,1.136761,5.228025,59.022196,10,2,1,4
22,1,2,12,1.814356,4.742574,64.257575,4,1,3,4
22,1,2,13,1.309584,6.490867,69.009354,12,6,3,4
22,1,2,14,1.187097,8.238395,75.511849,4,1,4,1
22,1,2,15,1.189896,5.485056,83.765053,10,2,4,4
22,1,2,16,1.628823,4.733093,89.26712,12,2,4,4
22,1,2,17,1.382993,5.48124,94.018942,8,5,1,4
22,1,2,18,1.789887,3.97908,99.521053,8,1,4,4
22,1,2,19,1.692356,5.227574,103.522585,6,3,3,4
22,1,2,20,1.025969,4.24227,108.757967,2,3,5,1
22,1,2,21,1.092388,3.990571,113.009558,4,5,5,1
22,1,2,22,1.811814,5.739015,117.011131,10,6,4,4
22,1,2,23,1.236639,6.48694,122.763295,10,5,2,4
22,1,2,24,1.069105,5.984312,129.26583,4,5,5,1
22,1,2,25,0.891847,9.232083,135.268087,2,6,2,1
22,1,2,26,1.672306,5.478523,144.521635,6,1,5,1
22,1,2,27,1.28887,5.24307,150.007075,8,5,4,4
22,1,2,28,1.542859,4.241124,155.259084,12,4,5,4
22,1,2,29,1.142244,4.489502,159.510714,10,4,3,4
22,1,2,30,1.391468,3.98773,164.012482,6,1,4,4
22,1,2,31,1.053968,4.48618,168.013974,10,3,1,4
22,1,2,32,0.8272,5.984397,172.515741,8,2,1,4
22,1,2,33,1.030947,5.232134,178.518001,12,1,1,4
22,1,2,34,1.595949,9.230144,183.770014,2,3,1,1
22,1,2,35,1.104012,4.243262,193.006889,8,2,2,4
22,1,2,36,1.054389,6.741606,197.258559,6,4,2,4
22,1,3,1,1.545009,5.965271,0.034993,12,1,5,4
22,1,3,2,1.19537,4.729533,6.020621,2,3,5,1
22,1,3,3,1.499511,3.977778,10.772439,12,6,4,4
22,1,3,4,1.249747,4.24277,14.757301,4,2,1,4
22,1,3,5,1.556099,13.741308,19.008935,8,2,4,4
22,1,3,6,1.684758,5.235838,32.764244,10,3,5,1
22,1,3,7,1.238775,3.983856,38.016219,6,5,2,4
22,1,3,8,1.23025,5.732391,42.017754,10,6,3,4
22,1,3,9,1.315005,4.730175,47.769959,2,1,1,4
22,1,3,10,1.444272,8.478322,52.521781,4,2,3,4
22,1,3,11,1.21764,7.241861,61.008364,6,4,2,4
22,1,3,12,1.777811,3.988941,68.261185,2,6,2,1
22,1,3,13,0.939293,4.487503,72.26272,6,6,2,1
22,1,3,14,1.363599,4.485736,76.764404,4,2,4,1
22,1,3,15,1.168875,3.98408,81.26613,10,3,4,1
22,1,3,16,1.440312,7.482448,85.267704,2,6,3,1
