"","SubID","TrialOrder","cost_one","LargeReward","cost_two","SmallReward","Decision"
"544",305,47,0.3,4,0,2.51,1
"545",305,48,0.5,3,0,3,0
"546",305,49,0.3,4,0,3.35,0
"547",305,50,0.5,2,0,1.48,0
"548",305,51,0.7,2,0,0.04,1
"549",305,52,0.1,2,0,1.19,1
"550",305,53,0.1,3,0,3,0
"551",305,54,0.7,3,0,1.44,0
"552",305,55,0.7,4,0,0.06,1
"553",305,56,0.3,3,0,1.7,1
"554",305,57,0.1,4,0,2.96,0
"555",305,58,0.5,3,0,3,0
"556",305,59,0.3,4,0,2.51,0
"557",305,60,0.3,2,0,0.59,1
"558",305,61,0.7,3,0,1.15,0
"559",305,62,0.7,3,0,0.86,1
"560",305,63,0.5,2,0,1.48,0
"561",305,64,0.1,2,0,2,0
"562",305,65,0.7,2,0,0.02,1
"563",305,66,0.7,2,0,0.01,1
"564",305,67,0.3,4,0,4,1
"565",305,68,0.5,4,0,0.92,1
"566",305,69,0.5,2,0,0.59,1
"567",305,70,0.5,4,0,1.85,1
"568",305,71,0.7,2,0,0.02,1
"569",305,72,0.1,2,0,2,0
"570",305,73,0.3,4,0,4,1
"571",305,74,0.1,3,0,3,1
"572",305,75,0.1,3,0,3,1
"573",305,76,0.1,3,0,1.79,1
"574",305,77,0.5,2,0,0.2,1
"575",305,78,0.7,4,0,0.05,1
"576",305,79,0.7,4,0,0.06,1
"577",305,80,0.1,3,0,2.68,1
"578",305,81,0.7,4,0,0.04,1
"579",305,82,0.3,4,0,1.67,1
"580",305,83,0.3,2,0,1.48,1
"581",305,84,0.7,3,0,0.58,1
"582",305,85,0.1,2,0,2,0
"583",305,86,0.3,3,0,3,0
"584",305,87,0.5,3,0,1.39,1
"585",305,88,0.7,4,0,0.02,1
"586",305,89,0.5,3,0,2.78,1
"587",305,90,0.3,3,0,0.57,1
"588",305,91,0.5,3,0,3,0
"589",305,92,0.3,3,0,2.56,1
"590",305,93,0.5,4,0,2.31,1
"591",305,94,0.5,2,0,1.19,1
"592",305,95,0.3,2,0,1.19,1
"593",305,96,0.7,2,0,0.03,1
"594",305,97,0.3,4,0,3.35,1
"595",305,98,0.7,3,0,1.44,1
"596",305,99,0.3,3,0,1.7,1
"597",305,100,0.1,4,0,0.39,1
"598",305,101,0.3,2,0,0.89,1
"599",305,102,0.1,4,0,1.18,1
"600",305,103,0.1,4,0,1.77,1
"601",305,104,0.5,2,0,0.89,1
"602",305,105,0.1,2,0,1.79,1
"603",305,106,0.7,2,0,0.01,1
"604",305,107,0.5,3,0,2.09,1
"605",305,108,0.5,4,0,1.39,1
"606",305,109,0.7,4,0,0.07,1
"607",305,110,0.1,4,0,2.36,1
"608",305,111,0.3,3,0,3,0
"609",305,112,0.1,2,0,1.19,1
"610",305,113,0.3,3,0,2.56,0
"611",305,114,0.1,2,0,1.19,1
"612",305,115,0.3,3,0,0.57,1
"613",305,116,0.5,2,0,0.2,1
"614",305,117,0.7,4,0,0.07,1
"615",305,118,0.5,2,0,0.89,0
"616",305,119,0.7,3,0,0.19,1
"617",305,120,0.7,2,0,0.01,1
"618",305,121,0.7,4,0,0.06,1
"619",305,122,0.1,3,0,1.79,1
"620",305,123,0.1,3,0,0.6,1
"621",305,124,0.5,3,0,2.78,1
"622",305,125,0.3,4,0,3.35,1
"623",305,126,0.1,4,0,1.77,1
"624",305,127,0.1,3,0,3,0
"625",305,128,0.7,2,0,0.02,1
"626",305,129,0.7,3,0,1.44,1
"627",305,130,0.3,2,0,0.59,1
"628",305,131,0.5,2,0,0.59,1
"629",305,132,0.7,4,0,0.05,1
"630",305,133,0.5,4,0,1.39,1
"631",305,134,0.3,3,0,3,0
